category,authors,title,year,journal,url
Industrial Organization,"Backus, Matthew, Chris Conlon, Michael Sinkinson",Common Ownership and Competition in the Ready-to-Eat Cereal Industry,2026,ECTA,https://github.com/msinkinson/MyPapers/blob/master/BCS_2021.pdf?raw=true
Industrial Organization,"Berry, Steven, James Levinsohn, Ariel Pakes",Automobile Prices in Market Equilibrium,1995,ECTA,https://www.its.caltech.edu/~mshum/gradio/papers/BerryLevinsohnPakes1995.pdf
Industrial Organization,"Berry, Steven, Ariel Pakes",The Pure Characteristics Demand Model,2007,,https://scholar.harvard.edu/files/pakes/files/ierbp-purechar-7-07.pdf
Industrial Organization,"Berry, Steven, Phil Haile",Foundations of Demand Estimation,,,https://www.nber.org/system/files/working_papers/w29305/w29305.pdf
Industrial Organization,"Bresnahan, Timothy",The Oligopoly Solution Concept is Identified,1982,EL,https://www.theigc.org/sites/default/files/2016/06/READINGS-Oligopoly-Solution.pdf
Industrial Organization,"Bresnahan, Timothy",Competition and Collusion in the American Automobile Industry: The 1955 Price War,,,https://pages.stern.nyu.edu/~acollard/Bresnahan1955.pdf
Industrial Organization,"Gentzkow, Matthew",Valuing New Goods in a Model with Complementarity: Online Newspapers,2007,AER,https://web.stanford.edu/~gentzkow/research/print_online.pdf
Industrial Organization,"Green, Edward, Robert Porter",Noncooperative Collusion under Imperfect Price Information,1984,ECTA,https://www.jstor.org/stable/pdf/1911462.pdf
Industrial Organization,"Levinsohn, James, Amil Petrin",Estimating Production Functions Using Inputs to Control for Unobservables,2003,REStud,https://www.theigc.org/sites/default/files/2016/06/READINGS-Levinsohn-Petrin.pdf
Industrial Organization,"Miller, Nathan, Matthew Weinberg",Understanding the Price Effects of the MillerCoors Joint Venture,2017,ECTA,https://www.jstor.org/stable/pdf/2297473.pdf
Industrial Organization,"Nevo, Aviv",Measuring Market Power in the Ready-to-Eat Cereal Industry,2001,ECTA,https://pages.stern.nyu.edu/~acollard/NevoEcma.pdf
Industrial Organization,"Olley, G. Steven, Ariel Pakes",The Dynamics of Productivity in the Telecommunications Equipment Industry,1996,ECTA,https://www.theigc.org/sites/default/files/2014/08/olley-pakes.pdf
"Industrial Organization, Media","Dellavigna, Stefano, Ethan Kaplan",The Fox News Effect: Media Bias and Voting,2007,QJE,https://eml.berkeley.edu/~sdellavi/wp/FoxVoteQJEAug07.pdf
"Industrial Organization, Media","Gentzkow, Matthew and Jesse Shapiro",What Drives Media Slant? Evidence from U.S. Daily Newspapers,2010,ECTA,https://web.stanford.edu/~gentzkow/research/biasmeas.pdf
"Industrial Organization, Media","Groseclose, Tim, Jeffrey Milyo",A Measure of Media Bias,2005,QJE,https://sites.stat.columbia.edu/gelman/stuff_for_blog/Media.Bias.pdf
"Industrial Organization, Media","Shleifer, Andrei, Sendhil Mullainathan",The Market for News,2005,AER,https://scholar.harvard.edu/files/sendhil/files/market_for_news.pdf
"Industrial Organization, Media","Gentzkow, Matthew, Jesse Shapiro",Media Bias and Reputation,2006,JPE,https://shapiro.scholars.harvard.edu/sites/g/files/omnuum7731/files/shapiro/files/bias.pdf
"Industrial Organization, Media","Hsieh, Chang-tai, Erik Hurst, Chad Jones, Pete Klenow",The Allocation of Talent and U.S. Economic Growth,2019,ECTA,https://web.stanford.edu/~chadj/HHJK.pdf
"Industrial Organization, Media","Hsieh, Chang-ta, Pete Klenow",Misallocation and Manufacturing TFP in China and India,2009,QJE,http://klenow.com/MMTFP.pdf
Labor Economics,"Autor, David, David Dorn, Gordon Hanson",The China Syndrome: Local Labor Market Effects of Import Competition in the United States,2013,AER,https://economics.mit.edu/sites/default/files/publications/the%20china%20syndrome%202013.pdf
Labor Economics,"Chetty, Raj",A New Method of Estimating Risk Aversion,2006,AER,https://scholar.harvard.edu/files/chetty/files/curvature_aer.pdf
Labor Economics,"Chetty, Raj, Nathaniel Hendren",The Impacts of Neighborhoods on Intergenerational Mobility: Childhood Exposure Effects and Count-Level Estimates,2018,QJE,https://scholar.harvard.edu/files/hendren/files/nbhds_paper.pdf
Labor Economics,"Coase, Ronald",The Problem of Social Cost,1960,JLawE,https://www.sfu.ca/~wainwrig/Econ400/coase-socialcost.pdf
Labor Economics,"Acemoglu, Daron, Simon Johnson, James Robinson",The Colonial Origins of Comparative Development,2001,AER,https://economics.mit.edu/sites/default/files/publications/colonial-origins-of-comparative-development.pdf
Applied Empirical,"Bertrand, Marianne, Esther Duflo, Sendhil Mullainathan",How Much Should We Trust Differences-in-Differences Estimates?,2004,QJE,https://economics.mit.edu/sites/default/files/2022-08/How%20Much%20Should%20We%20Trust%20Differences%20in%20Difference.pdf
Applied Empirical,"Duflo, Esther, Rohini Pande",Dams,2007,QJE,https://economics.mit.edu/sites/default/files/2022-08/Dams.pdf
Applied Empirical,"Milyo, Jeffrey, Joel Waldfogel",The Effect of Price Advertising on Prices: Evidence in the Wake of 44 Liquormart,1999,AER,https://www.jstor.org/stable/pdf/117048.pdf
Applied Empirical,"Patel, Dev",Floods,2026,QJE,https://dev-patel.com/content/Floods.pdf
Applied Empirical,"Acemoglu, Daron, Joshua Linn",Market Size in Innovation: Theory and Evidence from the Pharmaceutical Industry,,,https://economics.mit.edu/sites/default/files/publications/market-size-in-innovation-pharmeceutical-industry..pdf
Applied Empirical,"Arrow, Kenneth",Uncertainty and the Welfare Economics of Medical Care,1963,AER,https://web.stanford.edu/~jay/health_class/Readings/Lecture01/arrow.pdf
Applied Empirical,"Einav, Liran, Amy Finkelstein, Mark Cullen",Estimating Welfare In Insurance Markets Using Variation In Prices,2010,QJE,https://economics.mit.edu/sites/default/files/2022-08/Estimating%20Welfare%20In%20Insurance%20Markets%20Using%20Vari.pdf
Applied Empirical,"Arrow, Kenneth",Economic Welfare and the Allocation of Resources for Invention,1962,NBER,https://www.nber.org/system/files/chapters/c2144/c2144.pdf
Applied Empirical,"Bloom, Nicholas, John Van Reenen, Chad Jones, Michael Webb",Are Ideas Getting Harder to Find?,2020,AER,https://web.stanford.edu/~chadj/IdeaPF.pdf
Applied Empirical,"Jones, Benjamin",The Burden of Knowledge and the 'Death of the Renaissance Man': Is Innovation Getting Harder?,2008,REStud,https://www.kellogg.northwestern.edu/faculty/jones-ben/htm/burdenofknowledge.pdf
Growth Macro,"Aghion, Philippe, Peter Howitt",A Model of Growth Through Creative Destruction,1992,ECTA,https://www.jstor.org/stable/pdf/2951599.pdf?refreqid=fastly-default%3Aa63308050f23149ca999c15767c62db0&ab_segments=&initiator=&acceptTC=1
Growth Macro,"Jones, Chad",The End of Economic Growth? Unintended Consequences of a Declining Population,2022,AER,https://web.stanford.edu/~chadj/emptyplanet.pdf
Growth Macro,"Klenow, Pete, Andres Rodriguez-Clare",The Neoclassical Revival in Growth Economics: Has It Gone Too Far?,1997,NBERMacro,https://www.nber.org/system/files/chapters/c11037/c11037.pdf
Growth Macro,"Mankiw, Greg, David Romer, David Weil",A Contribution to the Empirics of Economic Growth,1992,QJE,https://mankiw.scholars.harvard.edu/sites/g/files/omnuum5931/files/mankiw/files/contribution_to_the_empirics.pdf
Microeconomic Theory,"Diamond, Peter",A Model of Price Adjustment,1971,JET,https://cemi.ehess.fr/docannexe/file/2360/diamond.pdf
Microeconomic Theory,"Dixit, Avinash, Joseph Stiglitz",Monopolistic Competition and Optimum Product Diversity,1977,AER,https://www.jstor.org/stable/pdf/1831401.pdf?refreqid=fastly-default%3A894f2486653525df0f6c51fac35ee400&ab_segments=&initiator=&acceptTC=1
Microeconomic Theory,"Kamenica, Emir, Matthew Gentzkow",Bayesian Persuasion,2011,AER,https://web.stanford.edu/~gentzkow/research/BayesianPersuasion.pdf
Microeconomic Theory,"Perloff, Jeffrey, Steven Salop",Equilibrium with Product Differentiation,1985,REStud,https://www.jstor.org/stable/pdf/2297473.pdf
Trade,"Arkolakis, Costas, Arnaud Costinot, Andres Rodriguez-Clare","New Trade Models, Same Old Gains?",2012,AER,https://www.jstor.org/stable/pdf/41408770.pdf
Trade,"Arkolakis, Costas, Arnaud Costinot, Dave Donaldson, Andres Rodriguez-Clare",The Elusive Pro-Competitive Effects of Trade,2019,REStud,https://www.jstor.org/stable/pdf/26611507.pdf
Trade,"Bernhofen, Daniel, John Brown",An Empirical Assessment of the Comparative Advantage Gains from Trade: Evidence from Japan,2005,AER,https://www.jstor.org/stable/pdf/4132677.pdf
Trade,"Brander, James, Paul Krugman",A 'Reciprocal Dumping' Model of International Trade,1983,NBERWP,https://www.nber.org/system/files/working_papers/w1194/w1194.pdf
Trade,"Costinot, Arnaud",An Elementary Theory of Comparative Advantage,2009,ECTA,https://economics.mit.edu/sites/default/files/publications/ecta7636.pdf
Trade,"Deardoff, Alan",The General Validity of the Law of Comparative Advantage,1980,,https://www.jstor.org/stable/pdf/1833142.pdf
Trade,"Dornbusch, Rudiger, Stanley Fischer, Paul Samuelson","Comparative Advantage, Trade, and Payments in a Ricardian Model with a Continuum of Goods",1977,AER,https://users.econ.umn.edu/~tkehoe/papers/DFS_Ricardo.pdf
Trade,"Eaton, Jonathan, Samuel Kortum","Technology, Geography, and Trade",2002,ECTA,https://economics.yale.edu/sites/default/files/2024-02/Eaton-TechnologyGeographyTrade-2002.pdf
Trade,"Krugman, Paul","Increasing Returns, Monopolistic Competition, and International Trade",1979,JIntE,https://www.fpeckert.me/teaching/readings/KrugmanJIE79.pdf
Trade,"Krugman, Paul","Scale Economies, Product Differentiation, and the Pattern of Trade",1980,AER,https://www.princeton.edu/~pkrugman/scale_econ.pdf
Trade,"Krugman, Paul",Intraindustry Specialization and the Gains from Trade,1981,JPE,https://www.jstor.org/stable/pdf/1830815.pdf
Trade,"Melitz, Marc",The Impact of Trade on Intra-Industry Reallocations and Aggregate Industry Productivity,2003,ECTA,https://web.stanford.edu/~klenow/Melitz.pdf
Trade,"Melitz, Marc, Gianmarco Ottaviano","Market Size, Trade, and Productivity",2008,REStud,https://scholar.harvard.edu/files/melitz/files/melot_restud_final.pdf
Spatial,"Ahlfeldt, Gabriel, Stephen Redding, Daniel Sturm, Nikolaus Wolf",The Economics of Density: Evidence from the Berlin Wall,2015,ECTA,https://www.princeton.edu/~reddings/pubpapers/Berlin-Ecta-10876.pdf
Spatial,"Donaldson, Dave, Richard Hornbeck",Railroads and American Economic Growth: A 'Market Access' Approach,2016,QJE,https://dave-donaldson.com/wp-content/uploads/2016/10/Donaldson_Hornbeck_Railroads_paper.pdf
Spatial,"Donaldson, Dave",Railroads of the Raj: Estimating the Impact of Transportation Infrastructure,2018,AER,https://dave-donaldson.com/wp-content/uploads/2018/03/Donaldson_RRRaj_AER.pdf
Spatial,"Duranton, Gilles, Henry Overman",Testing for Localization Using Micro-Geographic Data,2005,REStud,https://www.jstor.org/stable/pdf/3700701.pdf
Spatial,"Ellison, Glenn, Edward Glaeser",Geographic Concentration in U.S. Manufacturing Industries: A Dartboard Approach,1997,JPE,https://www.jstor.org/stable/pdf/10.1086/262098.pdf
